RECORDID,gold_labels,compound_by_article,average_sentence,median_sentence,mode_sentence,pstd_sentence,average_paragraph,median_paragraph,mode_paragraph,pstd_paragraph,avg_first_last_para
20200305-17909,-1,-0.34,-0.0028777777777777816,0.0,0.0,0.3090259887588665,-0.13455,-0.13455,0.2732,0.40775,-0.2691
20200926-4177,0,-0.8161,0.058924,0.0,0.0,0.4375270499340584,-0.012814285714285714,0.0,0.0,0.43407853364033905,0.519
20200817-76789,-1,0.8652,0.02533846153846154,0.0,0.0,0.39295489864215194,0.011962499999999994,-0.14665,-0.743,0.6234539015386382,-0.9209
20200416-61865,-1,-0.6124,-0.008611538461538457,0.0,0.0,0.39831037793981244,-0.0007208333333333281,0.0,0.0,0.39500953256342086,0.5106
20200428-1044,0,0.9721,0.09784444444444444,0.0,0.0,0.3430499351766319,0.09331874999999999,0.0,0.0,0.3827256021269514,0.5106
20200519-59064,0,0.2023,0.04266,0.0,0.0,0.39406254122918105,0.04266,0.0,0.0,0.39406254122918105,0.2263
20200705-26645,0,0.6572,0.061024999999999996,0.0,0.0,0.44213665520402173,0.06509333333333332,0.0,0.4404,0.4563467124408322,1.1536
20200702-33071,0,0.9963,0.10324736842105263,0.0,0.0,0.37964891658148564,0.09569069767441861,0.0,0.0,0.37993503900924314,0.069
20200416-6444,-1,0.0772,0.010850000000000004,0.0,0.0,0.24486144551562217,0.017360000000000007,0.0,0.0,0.3095454577279402,0.5106
20200723-68727,-1,0.5994,0.047630769230769227,0.0,0.0,0.31772300559453304,0.06879999999999999,0.0772,0.0,0.3799436829613334,-0.3612
20200325-75871,0,0.9602,0.06999999999999999,0.0,0.0,0.31764724633380387,0.12773076923076923,0.0,0.0,0.4474428753992649,0.5401
20200707-33730,-1,-0.9468,0.0034266666666666673,0.0,0.0,0.2872643114315146,-0.030260000000000002,0.0,0.0,0.3942797734266029,-0.4404
20200526-40606,-1,-0.3604,-0.05439130434782609,0.0,0.0,0.3701935062886688,-0.3604,-0.3604,-0.3604,0.0,-0.7208
20200801-36920,0,0.875,0.11846666666666666,0.0,0.0,0.22588195417567608,0.14216,0.0,0.0,0.2405388625565524,0.7269
20200718-47115,-1,0.9857,0.14265,0.0,0.0,0.4122570906000284,0.2040142857142857,0.20065,0.0,0.4014382533148651,0.4019
20200519-43263,-1,-0.9048,-0.005267307692307686,0.0,0.0,0.3828847284462608,-0.011471428571428566,0.0,0.0,0.4323072046400262,0.5106
20200711-14284,-1,-0.9894,-0.1393294117647059,0.0,0.0,0.2750245887717419,-0.09927878787878788,0.0,0.0,0.31728130884750416,0.6582
20200922-41971,1,0.9995,0.3487063829787234,0.4404,0.0,0.3798588631540725,0.438125,0.56445,0.0,0.4237239529499972,1.5222
20200620-41818,1,0.8934,0.13525384615384614,0.0,0.0,0.2758552452489547,0.14469166666666666,0.0,0.0,0.21925877199606456,0.5106
20200209-25870,-1,-0.9944,-0.20262666666666668,0.0,0.0,0.3818199583864393,-0.2190423076923077,-0.0258,0.0,0.4071600603552867,-1.3191
20200516-18264,1,0.9794,0.22925238095238096,0.0772,0.0,0.256252213219799,0.58945,0.58945,0.9766,0.38715,1.1789
20200825-68757,-1,-0.9953,-0.1181078947368421,0.0,0.0,0.3178478627976623,-0.12827894736842105,0.0,0.0,0.3286484829514057,0.0
20200811-63109,1,0.9971,0.283003125,0.3182,0.0,0.3233162997402611,0.5728,0.6808,0.25,0.31042858350117414,0.25
20200528-73259,-1,-0.9795,-0.045672340425531914,0.0,0.0,0.300034530425606,-0.08233199999999999,0.0,0.0,0.3694961128022865,0.5106
20200409-97097,1,0.9397,0.02364301075268817,0.0,0.0,0.3010077748425555,0.03433720930232558,0.0,0.0,0.44363289612295953,0.5106
